"YR","PROGRAM","STATE","ID","REP","HT_Clay Center","HT_Lincoln","HT_Sidney","TW_Clay Center","TW_Lincoln","TW_Sidney","YLD_Clay Center","YLD_Lincoln","YLD_Sidney"
2014,"University of Nebraska"," NE","GOODSYN62",1,88,102.0064,84,NA,794,779,1957,3342,3430
2014,"University of Nebraska"," NE","GOODSYN72",1,90,105.9942,86,NA,786,750,2582,4748,5024
2014,"University of Nebraska"," NE","GOODSYN8",1,100,119.9896,107,NA,787,802,3329,4714,4849
2014,"University of Nebraska"," NE","GOODSYN80",1,92,116.0018,96,NA,795,810,2394,4613,3887
2014,"University of Nebraska"," NE","GOODSYN82",1,86,102.0064,96,NA,801,831,2825,4122,4654
2014,"University of Nebraska"," NE","GOODSYN88",1,92,105.0036,98,NA,805,822,2636,4311,5246
2014,"University of Nebraska"," NE","HW_124",1,84,96.012,82,NA,770,808,4129,5071,4533
2014,"University of Nebraska"," NE","HW_132",1,92,96.012,84,NA,717,741,3188,4022,3450
2014,"University of Nebraska"," NE","HW_133",1,76,83.9978,70,NA,729,766,3618,4203,4412
2014,"University of Nebraska"," NE","HW_141",1,78,86.0044,74,NA,763,709,3403,4829,4223
2014,"University of Nebraska"," NE","HW_155",1,88,102.997,96,NA,760,750,3235,5010,4620
2014,"University of Nebraska"," NE","HW_174",1,86,78.0034,74,NA,780,750,4264,4714,3248
2014,"University of Nebraska"," NE","HW_175",1,80,89.9922,78,NA,755,775,3544,4909,4223
2014,"University of Nebraska"," NE","HW_182",1,76,86.0044,78,NA,738,754,3968,4741,4324
2014,"University of Nebraska"," NE","HW_237",1,76,81.9912,80,NA,767,782,4149,4708,3759
2014,"University of Nebraska"," NE","HW_240",1,86,81.9912,82,NA,784,792,3880,4539,4398
2014,"University of Nebraska"," NE","HW_246",1,86,97.9932,84,NA,746,767,3336,4270,4768
2014,"University of Nebraska"," NE","HW_256",1,80,81.9912,68,NA,768,770,3591,5165,3194
2014,"University of Nebraska"," NE","HW_261",1,80,86.0044,78,NA,762,768,4385,3571,3753
2014,"University of Nebraska"," NE","HW_266",1,78,83.9978,74,NA,767,750,3820,5219,4264
2014,"University of Nebraska"," NE","HW_267",1,88,99.9998,86,NA,716,785,3847,4096,4849
2014,"University of Nebraska"," NE","HW_29",1,84,89.9922,86,NA,741,782,2784,4042,4196
2014,"University of Nebraska"," NE","HW_37",1,74,81.9912,76,NA,807,776,3625,5104,4291
2014,"University of Nebraska"," NE","HW_44",1,80,83.9978,74,NA,780,777,4607,4802,4358
2014,"University of Nebraska"," NE","HW_83",1,84,88.011,88,NA,742,762,2186,1930,3598
