TRAIT,LOC,ID,BLUEs
Yield,Clay Center,GOODSYN43,34.84380742646132
Yield,Clay Center,GOODSYN44,45.2614153374098
Yield,Clay Center,GOODSYN5,34.24904888559377
Yield,Clay Center,GOODSYN51,30.750860313674504
Yield,Clay Center,GOODSYN58,26.01280531538425
Yield,Clay Center,GOODSYN61,23.554525646210674
Yield,Clay Center,GOODSYN62,25.511896312115244
Yield,Clay Center,GOODSYN72,36.977156487391056
Yield,Clay Center,GOODSYN8,39.820392552754356
Yield,Clay Center,GOODSYN80,33.86299445826482
Yield,Clay Center,GOODSYN82,42.10219638962342
Yield,Clay Center,GOODSYN88,38.96469922232007
Yield,Clay Center,HW_124,52.071418339846694
Yield,Clay Center,HW_132,37.31980415235172
Yield,Clay Center,HW_133,42.55951202645368
Yield,Clay Center,HW_141,40.63630838962321
Yield,Clay Center,HW_155,41.61713567662133
Yield,Clay Center,HW_174,49.57001238866484
Yield,Clay Center,HW_175,49.16384050556935
Yield,Clay Center,HW_182,50.16926026028581
Yield,Clay Center,HW_237,51.01274573665037
Yield,Clay Center,HW_240,53.36511634517523
Yield,Clay Center,HW_246,41.30191301014434
Yield,Clay Center,HW_256,50.684402770650934
Yield,Clay Center,HW_261,52.45614803534025
Yield,Clay Center,HW_266,51.90523259987933
Yield,Clay Center,HW_267,46.596589944235475
Yield,Clay Center,HW_29,32.51196018738972
Yield,Clay Center,HW_37,47.863486905747614
Yield,Clay Center,HW_44,57.08566318139901
Yield,Clay Center,HW_83,18.674732259285584
Yield,Clay Center,HW_98,48.45967739923123
Yield,Clay Center,NE06545,52.10859292333064
Yield,Clay Center,NE12568,30.22523598485159
Yield,Clay Center,NE12571,50.318047438733934
Yield,Clay Center,NE13407,37.195939113991315
Yield,Clay Center,NE13412,37.17977871813392
Yield,Clay Center,NE13417,33.376356084712896
Yield,Clay Center,NE13441,53.24189784936438
Yield,Clay Center,NE13449,44.67234182481187
Yield,Clay Center,NE13470,58.70991285665323
Yield,Clay Center,NE13498,45.35481368154228
Yield,Clay Center,NE13510,46.90340537282377
Yield,Clay Center,NE13522,43.7772664762565
Yield,Clay Center,NE13556,40.526919888938025
Yield,Clay Center,NE13571,43.856812313278795
Yield,Clay Center,NE13589,51.23584702461805
Yield,Clay Center,NE13593,51.73475395662119
Yield,Clay Center,NE13607,58.23664883103853
Yield,Clay Center,NE13625,58.071123447146675
Yield,Clay Center,NE13627,47.1455225542034
Yield,Clay Center,NE13628,44.51843307278784
Yield,Clay Center,NE13630,42.98994399688399
Yield,Clay Center,NE13637,41.66051216150295
Yield,Clay Center,NE13638,52.324493169265544
Yield,Clay Center,NE13639,51.725144177228024
Yield,Clay Center,NE13655,21.724682251807337
Yield,Clay Center,NE13660,47.92481684508228
Yield,Clay Center,NE13680,42.66596060981041
Yield,Clay Center,NE13695,44.84738212882502
Yield,Clay Center,NE13697,54.62416794890925
Yield,Clay Center,NE13698,55.841514233219314
Yield,Clay Center,NE13700,43.711077557175585
Yield,Clay Center,NH13415,52.05977225886864
Yield,Clay Center,NH13606,48.093204023091005
Yield,Clay Center,NH13692,52.0011464066603
Yield,Clay Center,NH13693,45.827385787645
Yield,Clay Center,NW13455,51.1283458492432
Yield,Clay Center,NW13457,43.90454099047891
